headline,review,rating
Cool,Good pens. Funky style. Would have been happy if sold at a bit discounted price!,4.0 out of 5 stars
Worth for money,Good quality,4.0 out of 5 stars
Amazing product at such low price,"This is one of the best pen I have used for such a low price. I bought it for my 10 year old, but I also use the same pen now.",5.0 out of 5 stars
Go for them.... Amazing pens,These pens are wonderful... their body is really bright but the best part is that it is blue gel pen...I love this pen...I would definitely recommend these 👌🏻,5.0 out of 5 stars
OMG!!!,This writes so wellll! OMG!!!!❤️❤️,4.0 out of 5 stars
For free flow writing,"Good quality.
I washed outer cover in surf water due to covid19.... Still pens working nicely.... I thought they won't work
So they are worth buying for smooth free flow writing",5.0 out of 5 stars
Worth it,"I have always loved classmate octane gel pen, the new neon edition is awesome. It is not easily available in stores near me, was happy to get it on Amazon. Came in good condition and worked perfectly.",5.0 out of 5 stars
Excellent,I have to write fast with good handwriting,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
good,good,3.0 out of 5 stars
You will love it only if you use it,Octane are the best in gel pens,4.0 out of 5 stars
Excellent product,The colour of the pens are very nice. Excellent product. The set has five pens. Value for money. The colour is deep and bold. Nice product.,5.0 out of 5 stars
OK OK product,OK OK product,4.0 out of 5 stars
Nice pen,Wonder ful and Joy of writing,4.0 out of 5 stars
Good purchase.,Fine writing. Blue ink. Neon colored body.,4.0 out of 5 stars
Not worth it. Unuseful product!!,Not worth it. Flow of pens is not good.,3.0 out of 5 stars
Pen,Not good enough. Stops writing in the middle. Fast despatch,3.0 out of 5 stars
Nice products,"Amazing product nice pen 👍
You must try ones 👌",3.0 out of 5 stars
Good product,Good product,4.0 out of 5 stars
Good quality,,1.0 out of 5 stars
Worth Buying,I got 3 sets of this order (15 pens) . All the 15 pens work properly and writes smoothly & perfectly . Value for money,5.0 out of 5 stars
Value for money,Cool colours and design. Ideal for school and college students,4.0 out of 5 stars
Costly,Costly,4.0 out of 5 stars
Irregular flow,Irregular flow of gel. Not recommended.,3.0 out of 5 stars
Waste of money,Waste of money because the gel pen is not work properly.... I am not satisfy this product,1.0 out of 5 stars
Ink is just awesome.,"Nice one for Jell lovers like me. No more profit and no more loss.

Just simple and main thing is its ink which never find you in the market.",5.0 out of 5 stars
Probably the best in the market,"These pens are too good, very good writing quality, thick and comfortable feel, very bright color resolution, my kid loves it",5.0 out of 5 stars
Fair,They are not smooth in writing as expected. Further they will stop writing at places. Moreover all five colors are BLUE actually.,3.0 out of 5 stars
"Smooth colourful pens ,Not waterproof","Not waterproof,ink spreads just by a slight rub off.",4.0 out of 5 stars
Never buy, 3 class quality. Instead buy 3 rs ball pen from local stationery,1.0 out of 5 stars
Good,"Nice pen with different body colour

Value for money",4.0 out of 5 stars
BEST IN CLASS,ITS GOOD FOR WRITING IF YOU WRITE CONTINUE MORE THAN 2 HRS,5.0 out of 5 stars
It's just aswome !!!,"Really it's ultra fine , water resistance and longevity gel pen....
And main think of the pen it's the very lowest price
Actually it's really valu for Money....",5.0 out of 5 stars
smooth writing 👌,Nice pen I like the pen 👌,4.0 out of 5 stars
Good Product,May be require agaiñ,4.0 out of 5 stars
