headline,review,rating
GENUINE PRODUCT,I Have Received This Item As Expected With Current Manufacturing Date. Wish To Order It Again.,5.0 out of 5 stars
Nice,Nice Product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Freshi,Colgate always strong,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Two pis missing very bed service,Missing product bed dilevary,1.0 out of 5 stars
Good product,"Good product, timely delivery, oct 18 manufacturing",5.0 out of 5 stars
Nice toothpaste & better taste & Good for teeth,Awesome product & Colgate is always best for teeth,5.0 out of 5 stars
Super Save Pack,This is a super saver pack. You also get a decent quality toothbrush free with this pack.,4.0 out of 5 stars
nice,nice,5.0 out of 5 stars
Four Stars,Good buy good price,4.0 out of 5 stars
Product delivered in good condition,Nothing to say.Its just Colgate toothpaste,5.0 out of 5 stars
Good...!,Good deal... Good product... Good delivery...,4.0 out of 5 stars
Nice product,Nice product,5.0 out of 5 stars
Value for money,Good,5.0 out of 5 stars
FINE,BEST PRODUCT,5.0 out of 5 stars
Strong teeth and Gum,Taste is genuine and very rich in quality. Fresh breath and shining teeth,5.0 out of 5 stars
Expiration is too close,Expiration is April ...its very close....pls give always a fresh.,1.0 out of 5 stars
Colgate,"Colgate paste are not thickness
It's totally liquid",1.0 out of 5 stars
Arjuna,Good product,5.0 out of 5 stars
Got scammed,Got only 2 toothpaste of 200gms. 100gm was missing from the box. From the reference pic you can see the toothpaste box was opened & tried to close it with sellotape.,1.0 out of 5 stars
must buy,like it,4.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Excellent.,Amazing Product which saves our money and gives us a calci-lock protection. Excellent.,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Best,Good packing and nice savings,5.0 out of 5 stars
Four Stars,all time my best tooth paste,4.0 out of 5 stars
Colgate,Get 200+100 Colgate anticavity toothpaste with a Colgate extra clean toothbrush...very fast delivery....go for it...,5.0 out of 5 stars
Four Stars,"Always colgate,",4.0 out of 5 stars
Good,As expected,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Very nice,Very nice,5.0 out of 5 stars
Toothpaste = Colagte,"Great product, using it from years",5.0 out of 5 stars
Colgate strong teeth toothpaste,Quality product at a good price !,5.0 out of 5 stars
Paisa basool,Good,5.0 out of 5 stars
Four Stars,Good for teeth,4.0 out of 5 stars
OK,GOOD,5.0 out of 5 stars
Four Stars,Good toothpaste-kuldeepkumar,4.0 out of 5 stars
toothpaste quality,taste and quality and mouth freshness after brushing,5.0 out of 5 stars
Nice,Like,5.0 out of 5 stars
perfect,nice,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
good product,i have been using colgate toothpaste since my childhood. it is nice and the price is also reasonable.,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
सामन चोरी हो गया है, सामान चोरी हुआ मिला,1.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
But good.. By,I never use this salt. But good.. By sarah,4.0 out of 5 stars
Good..,Acha hai..,4.0 out of 5 stars
Value for money,Great product,5.0 out of 5 stars
Every toothpaste are broken.,,1.0 out of 5 stars
Good,"Original product
Value of money",5.0 out of 5 stars
Four Stars,Value for the money,4.0 out of 5 stars
Good,Nice,3.0 out of 5 stars
Good offer,"Good offer
Good product",4.0 out of 5 stars
Best product,Best product in Colgate. . . .,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice product... 👍👍❤️,"Effective...
Colgate and Amazon always trusted
Thank u both..
Love you.. ❤️❤️",5.0 out of 5 stars
Four Stars,Good quality,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Four Stars,Good!,4.0 out of 5 stars
Amazing,Nice,5.0 out of 5 stars
every one should have the offer,nothing to say Colgate is Colgate,5.0 out of 5 stars
👌,👌👌,5.0 out of 5 stars
Loved it.,I didn't get any discount but the product was fresh.,5.0 out of 5 stars
Satisfy,Value pack,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good qulity,Best price,3.0 out of 5 stars
I ordered for 2 quantity.. but I found only one quantity inside the box,Very worst experience of buying...,1.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Three Stars,"The toothpaste is good, but the free toothbrush is very hard, bad toothbrush.",3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Great.. money saver pack,5.0 out of 5 stars
Good products with bad packaging.,Products are awesome. Packaging was not good.,5.0 out of 5 stars
Four Stars,Very Nice,4.0 out of 5 stars
Awseome...,Nic e product,5.0 out of 5 stars
open," Open box found, but product is ok",1.0 out of 5 stars
Freshness,Mouth fresher,5.0 out of 5 stars
Goof,Ok,5.0 out of 5 stars
Freshness,Time tested,5.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
Good,Nice,5.0 out of 5 stars
k not bad,K same as market price,4.0 out of 5 stars
nice,nice,5.0 out of 5 stars
Colgate,Good,4.0 out of 5 stars
Not expected,Taste is quite different compared to locally available,1.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
Achhi h,Best,5.0 out of 5 stars
Awesome,Awesome product,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Great purchase only offered by amazing Amazon...,purchase only offered by amazing Amazon...,5.0 out of 5 stars
good,Old is gold .good perfomnanes,4.0 out of 5 stars
Satisfied,Satisfied,4.0 out of 5 stars
Awesome,Superb combo excellent,5.0 out of 5 stars
Good,Less price comparatively market,3.0 out of 5 stars
Just a regular toothpaste,Regular toothpaste,5.0 out of 5 stars
To for speed delivery,Good quality product tq amezon,5.0 out of 5 stars
good product,good product,4.0 out of 5 stars
Four Stars,Good Product,4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Five Stars,This is really an cool money saver pack of 4.,5.0 out of 5 stars
No,No,5.0 out of 5 stars
Four Stars,very good,4.0 out of 5 stars
good,good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Trusted brand,Good,5.0 out of 5 stars
Gud product,Everything is ok,5.0 out of 5 stars
Average,Cost should be low,2.0 out of 5 stars
Like the product,Great deal and fast delivery,5.0 out of 5 stars
Nice price,Best products,5.0 out of 5 stars
Duplicate product,Received duplicate product. The taste and consistency was totally different from the original Colgate paste,1.0 out of 5 stars
Good,Good product,5.0 out of 5 stars
Grt deal,👍👍,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Feeling fresh in the morning.,Complete protection.,5.0 out of 5 stars
Good product,Good toothpaste,5.0 out of 5 stars
Must buy,Good product,5.0 out of 5 stars
100% good,Quality product,5.0 out of 5 stars
Good😀,Good,5.0 out of 5 stars
Thanks Amazon,Best Product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Fantastic,"Usefull
Amazing",5.0 out of 5 stars
Three Stars,Nice product.. Toothbrush quality is poor . overall good,3.0 out of 5 stars
Rec'd with broken seal,,1.0 out of 5 stars
Good product,আমরা কোলগেট পরিবার,5.0 out of 5 stars
Awesome,Awesome,5.0 out of 5 stars
200g+100g+Toothbrush,Fast delivery and good product ...!!!!!!,5.0 out of 5 stars
Colgate Toothpaste,"This is standard variant of colgate toothpaste, shows good effect.",5.0 out of 5 stars
Good,Good for Health,5.0 out of 5 stars
Use it,Thank you Colgate,5.0 out of 5 stars
Good,God,5.0 out of 5 stars
Worng,,1.0 out of 5 stars
Good product,Nice,5.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Best product in the market,Always the best,5.0 out of 5 stars
Perfect!!!,300 gms and tooth brush at 106!!!! That's awesome!!! Buy it!! And product is very good as you know it has a good GOODWILL!,5.0 out of 5 stars
Fast delivery,Perfect delivery and good product.,5.0 out of 5 stars
Item missing,"Packing was not good one product is missing box wad tied by a string
Worst experience",1.0 out of 5 stars
Four Stars,Smart offer i liked that.,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
good to save money and brush comes with brush cap,cost effective product. good to save money and brush comes with brush cap.,5.0 out of 5 stars
Good buy,Happy with the product,5.0 out of 5 stars
Five Stars,Great product,5.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Three Stars,Good but I have received this package in open condition...,3.0 out of 5 stars
good,good,3.0 out of 5 stars
Good quality.,very good.,5.0 out of 5 stars
Five stars,Very nice product I'm happy with this product 🙂,5.0 out of 5 stars
Great,Great,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Four Stars,It was a Good offer.,4.0 out of 5 stars
nice,thanks,5.0 out of 5 stars
Low quality brush,"Brush is very hard, low quality brush..",4.0 out of 5 stars
Four Stars,Good satisfied,4.0 out of 5 stars
Four Stars,Good. Brush supplied is hard,4.0 out of 5 stars
Good,Colgate name is satisfaction...,5.0 out of 5 stars
Four Stars,ok,4.0 out of 5 stars
Value for money,Always giving red brush...,5.0 out of 5 stars
Five Stars,Dont be afraid. Plz buy.its orginal,5.0 out of 5 stars
Trusted product,Tried and tested for generations. Need I say more!,5.0 out of 5 stars
Low price,Best products,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
ok,ok,4.0 out of 5 stars
Best toothpaste,Colgate is the best toothpaste and good discount offered by Amazon.,5.0 out of 5 stars
Good,I liked,5.0 out of 5 stars
Do not buy any paste from Amazon,It is thin compare to original. I facing such issues in dabar now in colgate. Will be last order for toothpaste on Amazon.,1.0 out of 5 stars
No cavities,Family paste,5.0 out of 5 stars
best for our family 😭👨‍👨‍👧‍👦,We used it since childhood.best for our family 😭👨‍👨‍👧‍👦,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
V.v.good,V.v.good,5.0 out of 5 stars
Five Stars,I like this offer and it's worth for this amount,5.0 out of 5 stars
Three Stars,"In sealed box, the package was opened,",3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Thanks,Thanks,5.0 out of 5 stars
Original,Original product good packing n handling. Thanks,5.0 out of 5 stars
Good product,Good product,4.0 out of 5 stars
Excellent product within budget.,Good product. Price is lower than market.,5.0 out of 5 stars
Mast,Super,5.0 out of 5 stars
Great,Good,5.0 out of 5 stars
wonderful,"100% genuine product as per the given details in the website,
And it was a latest pack of the product",5.0 out of 5 stars
Value for money,Good,5.0 out of 5 stars
Vary lovely and beautiful podact,My me lick it,2.0 out of 5 stars
Four Stars,happay,4.0 out of 5 stars
Nice.,Nice.,5.0 out of 5 stars
Poor quality,Fake toothpaste.পুরোপুরি নকল।,1.0 out of 5 stars
top,Nice,5.0 out of 5 stars
Five Stars,Got it for 110®,5.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Original product,Product is the same as available in any super market.,5.0 out of 5 stars
Five Stars,Great one... Using since my childhood..,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Very good,Very good,5.0 out of 5 stars
Good,Giod,5.0 out of 5 stars
Five Stars,Best,5.0 out of 5 stars
Colgate,Good product,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
great product,Colgate is best toothpaste brand,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Five Stars,Best toothpaste currently in India,5.0 out of 5 stars
good product,Price 122 a bit higher but free delivery obtion is best product is good and packing is best,5.0 out of 5 stars
Very good,Good,5.0 out of 5 stars
Good...,Good...,5.0 out of 5 stars
Five Stars,Very good offer,5.0 out of 5 stars
Three Stars,good but old packing,3.0 out of 5 stars
good as always,👍,5.0 out of 5 stars
Five Stars,NICE. USING IT SINCE MY CHILDHOOD,5.0 out of 5 stars
Five Stars,awesome product and great price,5.0 out of 5 stars
Three Stars,Seems not that powerful and effective.,3.0 out of 5 stars
Original product,Good.original,5.0 out of 5 stars
Four Stars,My Regular Daily Use Product,4.0 out of 5 stars
Five Stars,It is a very nice product.,5.0 out of 5 stars
Four Stars,Little bit price difference,4.0 out of 5 stars
Five Stars,Good deal thank you amazon,5.0 out of 5 stars
All time great product,Colgate toothpaste is my all time favorite and it's quality never disappoints me. Great in flavor and good for teeth.,5.0 out of 5 stars
Five Stars,good once,5.0 out of 5 stars
Fresh stock,V good brand fresh stock,5.0 out of 5 stars
Value for money,"Good product, good pricing, quick delivery",5.0 out of 5 stars
The box seal was broken & was in unhygienic condition. TOTALLY DISAPPOINTED🙁,When i opened the package the box seal was broken and was in a unhygienic condition. I m very disappointed.,1.0 out of 5 stars
Good,Good,5.0 out of 5 stars
"Bad chalky taste, no fresh mint feeling",Has hardly any mint taste. Tastes like what I'd expect chalk powder mixed with water (and very little mint flavor thrown in just for the sake of it) to taste like! Terrible! Will not repurchase.,1.0 out of 5 stars
very good product,very good product keep it up amazon,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Five Stars,Bahut Badhiya h.,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Really good product,5.0 out of 5 stars
Five Stars,Ok,5.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
GOOD,GOOD,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Five Stars,Good Quality of the product,5.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
Five Stars,good deal,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Great savings thanks Amazon,Nice original product receive,5.0 out of 5 stars
good,good,5.0 out of 5 stars
Five Stars,Nice toothpaste,5.0 out of 5 stars
great product,(+) great deal,5.0 out of 5 stars
Good deal,Good deal,5.0 out of 5 stars
Five Stars,nice product,5.0 out of 5 stars
Four Stars,Worth buying,4.0 out of 5 stars
Four Stars,a,4.0 out of 5 stars
Four Stars,nice,4.0 out of 5 stars
Good,Vest money,1.0 out of 5 stars
Three Stars,Great product,3.0 out of 5 stars
Four Stars,GOOD,4.0 out of 5 stars
One instead of three received,"Only one tooth pest was inside the pack instead of three...and I am not able to return or replace...
I need my money back",1.0 out of 5 stars
Five Stars,Paisa vasul,5.0 out of 5 stars
Five Stars,Ver good product,5.0 out of 5 stars
Colgate damaka,Super offer,5.0 out of 5 stars
Five Stars,Very low price,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Four Stars,ok,4.0 out of 5 stars
Four Stars,Ok,4.0 out of 5 stars
Superb.,It's The Best.,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Three Stars,Good product..... Amazon's delivery fast,3.0 out of 5 stars
Genuine,as expected ..,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Five Stars,Super queality,5.0 out of 5 stars
Five Stars,as per expectation,5.0 out of 5 stars
Five Stars,nothing to say as it is Trusted brand.,5.0 out of 5 stars
Three Stars,Good,3.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Five Stars,Very good,5.0 out of 5 stars
Good item,Good toothpaste as always. I like it.,5.0 out of 5 stars
Five Stars,value for money,5.0 out of 5 stars
Five Stars,Good product and service,5.0 out of 5 stars
Five Stars,nice,5.0 out of 5 stars
Good,"Been Using since my childhood.. It is Good when compared with other top brands..
Good For Cavity Protection",5.0 out of 5 stars
Empty,Today got parcel but in this parcel Colgate not in this only empty Colgate box received Colgate strong teeth amino shakti 500gm,1.0 out of 5 stars
Gud,Its gud,5.0 out of 5 stars
Four Stars,Nice,4.0 out of 5 stars
Price more than MRP !!!,MRP is 217 and was charged 227,1.0 out of 5 stars
Five Stars,serevice is good,5.0 out of 5 stars
We like it. Very good product,Using long time. We like it. Very good product.,5.0 out of 5 stars
Five Stars,Useful product.,5.0 out of 5 stars
Five Stars,Fine,5.0 out of 5 stars
Five Stars,Very very nice product.,5.0 out of 5 stars
Five Stars,Best price,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Four Stars,Good Product,4.0 out of 5 stars
Five Stars,Nice deal,5.0 out of 5 stars
Five Stars,Cheap and good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Great,5.0 out of 5 stars
Five Stars,Nice,5.0 out of 5 stars
Five Stars,Awesome,5.0 out of 5 stars
Amazing health benefits,Changed my life forever. Cured me of cancer and HIV,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Sparkling teeth!!! 😆,5.0 out of 5 stars
Five Stars,Good buy,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
OK,OK,2.0 out of 5 stars
Five Stars,Good as usual,5.0 out of 5 stars
Great Product,Received original product before estimated delivery date.,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Five Stars,Good Product,5.0 out of 5 stars
Five Stars,Good product.,5.0 out of 5 stars
Not good,Not good,1.0 out of 5 stars
Best combo,Value for money,5.0 out of 5 stars
Five Stars,Fine,5.0 out of 5 stars
Five Stars,Excellent product,5.0 out of 5 stars
Five Stars,ok,5.0 out of 5 stars
Four Stars,Economical,4.0 out of 5 stars
Three Stars,Ok,3.0 out of 5 stars
Five Stars,Nice great offer,5.0 out of 5 stars
Five Stars,Nice product well packed decent rate... Great delivery,5.0 out of 5 stars
below average,"it tastes sweetish..
it does not made the yellowness of the tooth disapppears..
i will not recommend this .",1.0 out of 5 stars
Five Stars,Nice,5.0 out of 5 stars
Nice,Nice product,5.0 out of 5 stars
Five Stars,Excellent product,5.0 out of 5 stars
Totally disappointed,I got damaged products,1.0 out of 5 stars
The part of paste in one tube is found black (Rotten).,"In one tube, it's paste is black (Rotten). Shame on Colgate👎👎👎👎",1.0 out of 5 stars
Five Stars,Excellent,5.0 out of 5 stars
Five Stars,Very good,5.0 out of 5 stars
Five Stars,excellent,5.0 out of 5 stars
good saver pack,good saver pack,4.0 out of 5 stars
Five Stars,my daily need,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Three Stars,very good product.,3.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Five Stars,Good..,5.0 out of 5 stars
Five Stars,BEST DEAL FOR FAMILY,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Nice product..,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
good,good,5.0 out of 5 stars
Quality not good,Poor quality do not take this product,1.0 out of 5 stars
Five Stars,not bad,5.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Three Stars,Good,3.0 out of 5 stars
Five Stars,Valuable product,5.0 out of 5 stars
Not satisfied,"Not got the actual number of products, there was only two toothpastes each of 100gm and 300gm, the toothbrush or another toothpadte of 200gm missing.",1.0 out of 5 stars
Four Stars,good,4.0 out of 5 stars
Genuine,Genuine product. Happy.,5.0 out of 5 stars
Five Stars,Trusted brand.,5.0 out of 5 stars
Five Stars,Good product.,5.0 out of 5 stars
Five Stars,V Good,5.0 out of 5 stars
Five Stars,Awesome,5.0 out of 5 stars
Decent product,Good.,4.0 out of 5 stars
Four Stars,good value for money,4.0 out of 5 stars
Colgate Strong Teeth Anti-Cavity Toothpaste.,Good.,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Five Stars,ok good as described,5.0 out of 5 stars
Five Stars,So much better than product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Five Stars,best offer price...,5.0 out of 5 stars
Three Stars,Not feasible option to buy all grocery in single place,3.0 out of 5 stars
Its Coalgate...,Coalgate simply lives up to its name and fame.,5.0 out of 5 stars
Five Stars,Good.,5.0 out of 5 stars
Five Stars,Better than the offer you find in big bazaar.,5.0 out of 5 stars
Five Stars,Good prod.,5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Five Stars,,5.0 out of 5 stars
Five Stars,Economy,5.0 out of 5 stars
Five Stars,Thank you,5.0 out of 5 stars
good,Good,5.0 out of 5 stars
Lol!!!! What a waste of excess packaging material!!!,Wastage of carton box n paper!!!!,1.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Five Stars,Extremely like,5.0 out of 5 stars
Five Stars,good product,5.0 out of 5 stars
Five Stars,nice.. buy it,5.0 out of 5 stars
It's Faulty product or total damaged,"It's Faulty product or total damaged

What's process it placed. Guide please",1.0 out of 5 stars
Five Stars,colgate ka naam hin kaafi hai,5.0 out of 5 stars
Good as expected. Prompt delivery.,Good as expected. Prompt delivery.,5.0 out of 5 stars
DEEPAK MITTAL,Very good,5.0 out of 5 stars
It may be foolish to write a review on Colgate ...,It may be foolish to write a review on Colgate toothpaste as it is a reknowned item around the world,2.0 out of 5 stars
Five Stars,Best,5.0 out of 5 stars
💟💟💟 Amazon & 💟💟💟 This Product..,Awsome Product 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍.....,5.0 out of 5 stars
Really not expected from a reputed company like yours. Need to work more on quality check ...,The toothpaste tube was recieved half open and was looking as if not original. Really not expected from a reputed company like yours. Need to work more on quality check and customer satisfaction. Kindly look in the issue that its not repeated in future otherwise your reputation will be seriously dented,2.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Product is as described.,5.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,NO THANKS,5.0 out of 5 stars
Five Stars,Good toothpaste,5.0 out of 5 stars
Awaseame product at low price,It was a good product,3.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Packaging was awesum....,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Five Stars,I like it,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Five Stars,Good.,5.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Five Stars,Excellent,5.0 out of 5 stars
Four Stars,GOOD PRODUCT AT GOOD PRICE,4.0 out of 5 stars
Five Stars,It's nice,5.0 out of 5 stars
Not good value for money,High rate,1.0 out of 5 stars
Five Stars,excellent,5.0 out of 5 stars
Bulk Toothpaste - Not Pleasant,"Company Made This Toothpaste Only For Making Money ,Not For Giving Satisfaction To The Customers . Bulky Toothpaste",2.0 out of 5 stars
Nice product,Excellent,5.0 out of 5 stars
This the no. 1 product.... ...,This the no.1 product.........,3.0 out of 5 stars
5 stars,Good deal,5.0 out of 5 stars
Not recommended,Poor quality.,1.0 out of 5 stars
Good Product,Good Product,5.0 out of 5 stars
Five Stars,good in price,5.0 out of 5 stars
Five Stars,Care for your teeth,5.0 out of 5 stars
Five Stars,it is inexpensive,5.0 out of 5 stars
Damaged and old stock,Sent all old stock and all boxes are teared and damaged.,1.0 out of 5 stars
Missing,Missing 1pack only 1pack recieved very disappointed this time,1.0 out of 5 stars
Five Stars,Very nice,5.0 out of 5 stars
Three Stars,VFM,3.0 out of 5 stars
Three Stars,Ok,3.0 out of 5 stars
Worst product,Product is damaged only one tube is there not the other. I have a pictu,1.0 out of 5 stars
Missing,One 200gm piece is missing in the whole package,1.0 out of 5 stars
Mfg very old,2019 mfg,1.0 out of 5 stars
For daily use,Good product,5.0 out of 5 stars
good,good product,5.0 out of 5 stars
Okaish,Decent shampoo... not d best,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Product missing,Item missing package was damaged,1.0 out of 5 stars
Five Stars,nice product,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Perfect deal with perfect product,Good product,5.0 out of 5 stars
Experied one,Not good,1.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Five Stars,The best.,5.0 out of 5 stars
Five Stars,excellent,5.0 out of 5 stars
Cheating,We missed the product and we got the empty box,1.0 out of 5 stars
valur for price,good one !!!,4.0 out of 5 stars
Don't buy it,Wastage,1.0 out of 5 stars
Four Stars,Excellent,4.0 out of 5 stars
Five Stars,nice,5.0 out of 5 stars
Packing not good,Seal is open...looks like an old product,2.0 out of 5 stars
Coming only 200,No good,1.0 out of 5 stars
Very poor quality products,Very bad products,1.0 out of 5 stars
Five Stars,REALLY SUPER SAVER,5.0 out of 5 stars
Three Stars,good product,3.0 out of 5 stars
Poor packing and late delivery..but affordable price always..👍,Poor packing and late delivery..but affordable price always..👍,1.0 out of 5 stars
Wrost of money getting damaged box and product,Getting damaged box and wrost product inside this.,1.0 out of 5 stars
Total box with paste,Punctured one I received,1.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Good quality product and as usual timely delivery by Amazon,Great mega saver pack,5.0 out of 5 stars
Five Stars,PRICE WORTHY,5.0 out of 5 stars
Five Stars,"more,more and more",5.0 out of 5 stars
Five Stars,nice,5.0 out of 5 stars
Five Stars,very good,5.0 out of 5 stars
Five Stars,NICE,5.0 out of 5 stars
Five Stars,perfect,5.0 out of 5 stars
Ok,Ok,1.0 out of 5 stars
Five Stars,As per description,5.0 out of 5 stars
Good Product,Good quality Product.,5.0 out of 5 stars
As expected.,As expected.,5.0 out of 5 stars
Unreliable service,The product is 6 months old plus the package was damaged.,1.0 out of 5 stars
Five Stars,Excellent,5.0 out of 5 stars
Good quality product.,Good quality product.,5.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Five Stars,Its ok and i can use it.,5.0 out of 5 stars
Three Stars,ok,3.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Nice product and excellent service,Very good,5.0 out of 5 stars
Five Stars,as expected.,5.0 out of 5 stars
Lokesh,Super Deals Thanks To Amazon...,3.0 out of 5 stars
great product,we r using it and its great,5.0 out of 5 stars
Five Stars,Good,5.0 out of 5 stars
Amazing service,Excellent product,5.0 out of 5 stars
Five Stars,Good colgate.,5.0 out of 5 stars
Package opened inside,Package fully opened and product not in good condition,1.0 out of 5 stars
Five Stars,A good product to buy!,5.0 out of 5 stars
Probably duplicate product,"Very bed experience, waste of money, received opened pack, can't say it's original or a duplicate product. Hardly disappointed with Amazon",1.0 out of 5 stars
Five Stars,"good product, delivered on time",5.0 out of 5 stars
Stock short and all damaged,All damaged,1.0 out of 5 stars
full of chemicals,too many chemicals in this paste its very dangerous to brush with this,1.0 out of 5 stars
Good product at reasonable rate,Good value for money product.,5.0 out of 5 stars
Genuine product at great value,As described.,5.0 out of 5 stars
Five Stars,Genuine item... will buy again.,5.0 out of 5 stars
Nepotic,Nepotic,1.0 out of 5 stars
Apply some safety,Shampoo has ruined packing of materials,2.0 out of 5 stars
I had you,So sad,1.0 out of 5 stars
Worst product,Worst product,1.0 out of 5 stars
good product,good product,5.0 out of 5 stars
Not good,Cheap but not effective,1.0 out of 5 stars
Miss 1 packate se that don't buy thish item,Very loss,1.0 out of 5 stars
waste,"Very expensive, In market it is only 110",2.0 out of 5 stars
Box terrible,,2.0 out of 5 stars
Five Stars,good,5.0 out of 5 stars
Broken package,Broken package.,1.0 out of 5 stars
Seal is tampered,Seal is tampered.,1.0 out of 5 stars
Bad duplicate product,Bad product i m using Coalgate since many years this one feels fake,1.0 out of 5 stars
What the GHATIYA TOOTH BRUSH is given with the product ...,"What the GHATIYA TOOTH BRUSH is given with the product, because of this toothbrush i suffered severe toothpain and gum bleeding... I suggest to all please don't used the toothbrush,otherwise you will face big trouble",1.0 out of 5 stars
Five Stars,GOOD,5.0 out of 5 stars
"Pilferage,losing faith in Amazon shopping,","Package was tampered, out of 4,200 gm Colgate toothpastes, 2colgatepaste(200 gm) missing,stolen,kindly take strong action,",1.0 out of 5 stars
Three Stars,good,3.0 out of 5 stars
Inferior quality products,"Dear Sir,

Please find herewith with enclosed
Purchased this Colgate product very inferior and poor quality product. After used got mouth infection to whole my family members. Request you to kindly refund products amount with medical treatment reimbursement.",1.0 out of 5 stars
Two Stars,Always buy,2.0 out of 5 stars
Missing colgate,Missing 2 colgate fake productt,1.0 out of 5 stars
brush is not good.,ok..brush is not good.,2.0 out of 5 stars
