headline,review,rating
Superb quality,I got this price at 100 rupees for 500grams ... it's best deal thanks Amazon,5.0 out of 5 stars
Colgate Review,Good,5.0 out of 5 stars
Amazon is best,"Wow..I need to appreciate amazon for great delivery and selling product for the best price...Like this i should post it seems else they will not post it in Amazon . Compare price and buy..

Quality is good.
Fast delivery

Always amazon is the best...forced to post this feedback. Thank you.",5.0 out of 5 stars
This is good product,Good quality,4.0 out of 5 stars
Good product,Good flavor,4.0 out of 5 stars
Badhiya product,Good quality,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good @228,Good,5.0 out of 5 stars
Flavour is not good like simple strong teeth,"Inner product show 92 price for 200 gram
Then 200 gram +200 gram = 92+92=184 since 100 gram product is free ....
Then why is it show 209 price on overall product",4.0 out of 5 stars
Good,Good... got it a deal price 305Rs/-,4.0 out of 5 stars
Good,200gm x 4 and 100gm x2,4.0 out of 5 stars
Deceived! Discounted amount was exactly as the MRP in the product package.,"Amazon selling strategy can be deceiving. I bought this product on seeing it was discounted, but on receiving the product, the cost was exactly as the MRP in the product package! Do sell ethically.",3.0 out of 5 stars
Freshness,For strong teeth,5.0 out of 5 stars
Good,Good freshness,3.0 out of 5 stars
"Paste is dry, not as usual","The paste seems to be very dry, not similar to the regular colgate that we use.",2.0 out of 5 stars
Far Far Better Than Anything Else,There's simply nothing in India that can compete with Colgate. Which is kinda scary really.,5.0 out of 5 stars
Good,Very nice,5.0 out of 5 stars
I like it,"I'm buy again,I like it this, Thank you very much Amazon",5.0 out of 5 stars
I love colgate,It is manufactured on Oct. 2021 and the expiry is 24 months. Nice. Thanks Amazon.,5.0 out of 5 stars
Good product,👍👍👍👍,4.0 out of 5 stars
Colgate's signatured product,Very good quality...only the freshness is missing,4.0 out of 5 stars
Best paste,Best in the market. Using from very long time,5.0 out of 5 stars
All is well,Cheap and best.,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Improve u r product,Mfd. Date was last year's 2020,4.0 out of 5 stars
It a great deal 😊,Like,4.0 out of 5 stars
Nice product,Worth buying,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Always Reliable brand,Toothpaste which is super reliable and worth buying.,5.0 out of 5 stars
Colgate,"I get product is good quality, but purchase vallue is same my near store.",5.0 out of 5 stars
Not good,I think you can buy any other toothpaste because this is not so good,2.0 out of 5 stars
Very good,Very good,5.0 out of 5 stars
Fresh,Excellent,5.0 out of 5 stars
Packing is not at all good,The seal of the colagate pack also got removed. Eventhough the paste is fine. Packing is not good. Amazon needed to take extra care and should keep buble cover atleast. Its not good to sell such damaged packed products,2.0 out of 5 stars
Best value for money,Best value for money.,4.0 out of 5 stars
Genuine branded item,Fantastic & useful.,4.0 out of 5 stars
Super 👌,Super good 👌,4.0 out of 5 stars
Value for money but i need tooth brush combo..., Good product. I think toothpaste & toothbrush combo must be a good combo.,5.0 out of 5 stars
Good,Nice product 👍😊,5.0 out of 5 stars
You'll know that!,This is one which we are like using since childhood i don't think it requires any review😃,5.0 out of 5 stars
Overall okk,Packing little outdated,4.0 out of 5 stars
Horrible taste,"I used to order before because it was a good product. Recently I ordered 3 boxes, horrible taste not like before. And its impossible to return it. Don't get it.",1.0 out of 5 stars
I got it 100 rupees 😂,Colgate classic Colgate tastes the same,5.0 out of 5 stars
Good,Value for money but packaging was bit poor and best delivery service,4.0 out of 5 stars
No Complaints and no demands. Thanks,Everyone knew it well that We use to Keep our Teeth clean and have Fresh breath. And I'm using since My childhood and even My Children are using now.,5.0 out of 5 stars
Nice,Nice,4.0 out of 5 stars
Good,Nice product,4.0 out of 5 stars
ठीक है,ठीक है,4.0 out of 5 stars
Good,Good offer and full paisa wasool..,5.0 out of 5 stars
Good,Good packaging... Worth the money,5.0 out of 5 stars
Value of money products,Good,5.0 out of 5 stars
Great,Great,5.0 out of 5 stars
Nice produt,Awesome,5.0 out of 5 stars
I got it only at 100,Value for money,5.0 out of 5 stars
Bad quality,Old stock cleared,2.0 out of 5 stars
Always good,"Colgate the evergreen product always good

The pack is cost efficient",4.0 out of 5 stars
Evergreen and benifited to family,Good,4.0 out of 5 stars
Not a good quality compared to store purchase,"May this is a second quality product, the same product near my home purchase was good, completely unsatisfied",2.0 out of 5 stars
Value for money.,"Received in very good condition. Freshness and flavor is we all knew very well that it is good. Delivery is so fast received within 15 hours, i ordered at night 9:35 PM and received at morning 11:10 AM.",5.0 out of 5 stars
Old is gold,Old is gold,5.0 out of 5 stars
Colgate,Good quality and good for teeth.,5.0 out of 5 stars
Valuable price,I loved,4.0 out of 5 stars
Good,Good Quality,3.0 out of 5 stars
Good,Nice,3.0 out of 5 stars
Good,Nice,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Best combo,Best combo,5.0 out of 5 stars
Consistently good,"Great product.
Nothing like colgate. Best toothpaste brand in the world",5.0 out of 5 stars
Contains Sodium lauryl sulphate,"Good product, nice freshness but it contains sodium lauryl sulphate which is used in detergents to clean clothes . So, this is the con.",3.0 out of 5 stars
Not Geniune product,"Amazon encouraging duplicate products, not doing any background of seller.
Colagate paste looks like duplicate, it's dissolving in water easily and getting mouth ulcers after using this paste",3.0 out of 5 stars
Perfect,"I love it , its really value for money and my whole family can use this family pack .",5.0 out of 5 stars
Just colgate,Just normal colgate one. Same taste and flavour n smell,4.0 out of 5 stars
Teeth have not really whitened as advertised,Its ok,4.0 out of 5 stars
nice,good product,5.0 out of 5 stars
5-stars for the latest pack (manufactured just 1 month ago) and prompt delivery.,"Tooth paste are mostly personal choice. So, this rating is merely my opinion.

5-stars for the latest pack (manufactured just 1 month ago) and prompt delivery.
By mistake I placed order for 2 -quantity (So, total I got two packs each having two with-in it). But, this item is not return eligible - that means, you can't return tooth-paste.

Though the taste-and-smell are decades old, I like the way it cleans - proper abrasive material is contained. This tooth past works best when used with Soft tooth brush.",5.0 out of 5 stars
No doubt Ever Green Product,"Colgate Strong Teeth Anticavity Toothpaste with Amino Shakti it is not only tooth paste but also dental cream for healthy, wealthy and strong teeth.",5.0 out of 5 stars
Electricity bill reduce,"So much glow on teeth , now a small smile can work as 100W Led Bulb.",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Price increased,"Colgate has increased the price so,now buying combo is not much profitable.though it's good",4.0 out of 5 stars
Colgate strong teeth Toothpaste,value for money,4.0 out of 5 stars
Fast delivery,Good,4.0 out of 5 stars
Good,"This toothpaste is as usual...
Good freshness and flavor.
Strong for teeth and value for money.
OK product",3.0 out of 5 stars
Super,Good,4.0 out of 5 stars
Trust worthy Brand,We all use this brand since childhood and it's trustworthy..,4.0 out of 5 stars
Toothpaste means colgate,"I m using colgate toothpaste for many many years, i m so happy with its, I cannot think of any other alternative, it’s the best , very tasty, efficient & economical",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good,Value for money,4.0 out of 5 stars
Less price,Latest date,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Good,It's good. I like it value of money,3.0 out of 5 stars
Give your teeth 🦷 many reasons to Smile with Colgate 😊,"It's super save🙌. 100g is worth ₹52 in grocery stores.
₹15 less in each 100g. So total ₹75 saved. Loved the offer.
Highly recommended. Have been a user since childhood.
Thank you Colgate. Thank you Amazon!
😊",5.0 out of 5 stars
Quality and Reliable Product- Colgate,"Review after 1 Month of usage:
We have been using Colgate from Childhood and Its the Same Genuine Colgate Delivered by Amazon.
Most Important is that it is Cost saving deal.
Thank You Amazon.",5.0 out of 5 stars
NO 1, no comparision with colgate in whole world,5.0 out of 5 stars
Value for mony,I like it,4.0 out of 5 stars
Super,Supr,4.0 out of 5 stars
Freshness all around,Good,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
"Loads of freshness,value for money","Using Colgate normal variant after ages. Happy to say,like it a lot! Leaves a very fresh feeling inside the mouth.",5.0 out of 5 stars
Unfair,MRP-434 nd I get it for rps 474 🙄,3.0 out of 5 stars
